name,school,city,state,ranking
Ben Davis,Gordo,Gordo,AL,0.9955
Mack Wilson,Carver ,Montgomery,AL,0.9884
Jonah Williams,Folsom,Folsom,CA,0.9877
B.J. Emmons,Freedom,Morganton,NC,0.9805
Nigel Knott,Germantown,Madison,MS,0.9675
Terrell Lewis,St. John's,Washington,DC,0.9671
Shyheim Carter,Kentwood,Kentwood,LA,0.965
Raekwon Davis,Meridian,Meridian,MS,0.9587
Charles Baldwin,ASA College (New York),Brooklyn,NY,0.9535
Trevon Diggs,The Avalon School,Bethesda,MD,0.9462
Jared Mayden,Sachse,Sachse,TX,0.9344
Quinnen Williams,Wenonah Sch,Birmingham,AL,0.9321
Deonte Brown,Austin,Decatur,AL,0.9258
Chris Owens,Lamar,Arlington,TX,0.9241
Jalen Hurts,Channelview,Channelview,TX,0.9231
Scott Lashley,West Point,West Point,MS,0.9223
T.J. Simmons,Clay-Chalkville,Pinson,AL,0.8887
Miller Forristall,Cartersville,Cartersville,GA,0.8822
Josh Jacobs,McLain,Tulsa,OK,0.8725
Jamar King,Mendocino College,Ukiah,CA,0.8676
Irv Smith Jr.,Brother Martin,New Orleans,LA,0.8671
Aaron Robinson,Deerfield Beach,Deerfield Beach,FL,0.8621
Shawn Jennings,Dadeville,Dadeville,AL,0.8615
Joe Donald,Mountain Brook,Birmingham,AL,0.7889
Kendell Jones,Shoemaker,Killeen,TX,0.9548
Shawndarius Jennings,Dadeville,Dadeville,AL,0.8333
