name,school,city,state,ranking
Jaelan Phillips,Redlands East Valley,Redlands,CA,0.9989
Darnay Holmes,Calabasas,Calabasas,CA,0.9879
Greg Rogers,Arbor View,Las Vegas,NV,0.9432
Stephan Zabie,Westlake,Austin,TX,0.9103
Elijah Gates,Buena Park,Buena Park,CA,0.9025
Jimmy Jaggers,Roseville,Roseville,CA,0.8967
Rahyme Johnson,Salesian,Los Angeles,CA,0.8903
Martin Andrus,Los Angeles Senior,Los Angeles,CA,0.8839
Odua Isibor,St. Mary's,Phoenix,AZ,0.8655
Jay Shaw,Centennial,Corona,CA,0.8649
Quentin Lake,Mater Dei,Santa Ana,CA,0.864
Moses Robinson-Carr,Antelope Valley,Lancaster,CA,0.8615
Jax Wacaser,Saguaro,Scottsdale,AZ,0.8543
Mo Osling,Antelope Valley,Lancaster,CA,0.8479
Zachary Sweeney,St. Thomas Aquinas,Fort Lauderdale,FL,0.8194
Sean Seawards,Saguaro,Scottsdale,AZ,0.8173
Austin Burton,West Orange,Winter Garden,FL,0.8144
Drew Platt,Los Alamitos,Los Alamitos,CA,0.7782
Zach Cochrun,San Clemente,San Clemente,CA,0
