name,school,city,state,ranking
Trevor Lawrence,Cartersville,Cartersville,GA,0.9999
Tanner McKee,Centennial,Corona,CA,0.9764
Matt Corral,Long Beach Poly,Long Beach,CA,0.969
Jarren Williams,Central Gwinnett,Lawrenceville,GA,0.9614
Tyler Shough,Hamilton,Chandler,AZ,0.9422
Joe Milton III,Olympia,Orlando,FL,0.9202
Cammon Cooper,Lehi,Lehi,UT,0.8917
Theo Day,Divine Child,Dearborn,MI,0.8898
Ben Bryant,Lyons Township,La Grange,IL,0.8643
Justin Fields,Harrison,Kennesaw,GA,0.9998
Dorian Thompson-Robinson,Bishop Gorman,Las Vegas,NV,0.9813
Justin Rogers,Parkway,Bossier City,LA,0.9772
Emory Jones,Heard County,Franklin,GA,0.9587
Adrian Martinez,Clovis West,Fresno,CA,0.9423
Dakereon Joyner,Fort Dorchester,North Charleston,SC,0.9199
Gerry Bohanon,Earle,Earle,AR,0.9117
Tanner Mordecai,Midway,Waco,TX,0.9092
James Foster,Lanier,Montgomery,AL,0.9055
Jace Ruder,Norton,Norton,KS,0.8957
Jalen Mayden,Sachse,Sachse,TX,0.8917
Holton Ahlers,D H Conley,Greenville,NC,0.8755
Jordan Travis,The Benjamin School,North Palm Beach,FL,0.8572
James Cook,Northwestern,Miami,FL,0.9786
T.J. Pledger,IMG Academy,Bradenton,FL,0.9543
Mychale Salahuddin,Woodson H.D.,Washington,DC,0.9179
Lyn-J Dixon,Taylor County,Butler,GA,0.9077
Shaun Shivers,Chaminade-Madonna Prep,Hollywood,FL,0.8939
Deshaun Fenwick,Braden River,Bradenton,FL,0.8763
Zamir White,Scotland County,Laurinburg,NC,0.9957
Lorenzo Lingard,University,Orange City,FL,0.9861
Harold Joiner,Mountain Brook,Birmingham,AL,0.9375
Keaontay Ingram,Carthage,Carthage,TX,0.9324
Cam'Ron Harris,Miami Carol City,Opa Locka,FL,0.9308
Dameon Pierce,Bainbridge,Bainbridge,GA,0.9209
Asa Martin,Austin,Decatur,AL,0.9207
Master Teague,Blackman,Murfreesboro,TN,0.9132
Fabian Franklin,Hattiesburg,Hattiesburg,MS,0.8999
Markese Stepp,Cathedral,Indianapolis,IN,0.8991
Anthony Grant,Buford,Buford,GA,0.8871
Tavion Thomas,Dunbar,Dayton,OH,0.8865
Devon Lawrence,Wake Forest,Wake Forest,NC,0.8837
Andrew Cunningham,Cambridge Christian School,Tampa,FL,0.8389
Kevin Sawyer,Florida State Univ. School,Tallahassee,FL,0.7903
Amon-Ra St. Brown,Mater Dei,Santa Ana,CA,0.9948
Terrace Marshall,Parkway,Bossier City,LA,0.993
Derion Kendrick,South Pointe,Rock Hill,SC,0.9855
Jaylen Waddle,Episcopal,Bellaire,TX,0.9791
Justyn Ross,Central,Phenix City,AL,0.9765
Brennan Eagles,Alief Taylor,Houston,TX,0.9699
Mark Pope,Miami Southridge,Miami,FL,0.9656
Jacob Copeland,Escambia,Pensacola,FL,0.9651
Ja'Marr Chase,Archbishop Rummel,Metairie,LA,0.9589
Justin Watkins,East Ridge,Clermont,FL,0.9567
Matthew Hill,Brookwood,Snellville,GA,0.9562
Jalen Preston,Manvel,Manvel,TX,0.9557
Joshua Moore,Yoakum,Yoakum,TX,0.9556
Alontae Taylor,Coffee County Central,Manchester,TN,0.9471
Jalen Hall,Long Beach Poly,Long Beach,CA,0.9454
Kearis Jackson,Peach County,Fort Valley,GA,0.9451
Xavier Williams,Chaminade-Madonna Prep,Hollywood,FL,0.9405
Josh Vann,Tucker,Tucker,GA,0.9388
CJ Moore,Union,Tulsa,OK,0.9388
Brian Hightower,IMG Academy,Bradenton,FL,0.9366
Warren Thompson,Armwood,Seffner,FL,0.9361
Chase Cota,South Medford,Medford,OR,0.9358
Anthony Schwartz,American Heritage,Fort Lauderdale,FL,0.9334
Devonta Jason,Landry-Walker,New Orleans,LA,0.9297
Seth Williams,Paul W Bryant,Cottondale,AL,0.9259
Jahan Dotson,Nazareth,Nazareth,PA,0.9228
Tommy Bush,Samuel Clemens,Schertz,TX,0.9222
Elijah Moore,St. Thomas Aquinas,Fort Lauderdale,FL,0.9205
