name,school,city,state,ranking
Amarius Mims,Bleckley County,Cochran,GA,0.9956
Brock Vandagriff,Prince Avenue Christian School,Bogart,GA,0.9908
Xavian Sorey,IMG Academy,Bradenton,FL,0.9864
Smael Mondon,Paulding County,Dallas,GA,0.9834
Micah Morris,Camden County,Kingsland,GA,0.9698
Nyland Green,Newton,Covington,GA,0.9682
David Daniel,Woodstock,Woodstock,GA,0.9583
Dylan Fairchild,West Forsyth,Cumming,GA,0.9582
Brock Bowers,Napa,Napa,CA,0.9531
Lovasea Carroll,IMG Academy,Bradenton,FL,0.9474
Jonathan Jefferson,Douglas County,Douglasville,GA,0.9407
Tyrion Ingram-Dawkins,Gaffney,Gaffney,SC,0.9356
Jamon Dumas-Johnson,St. Frances Academy,Baltimore,MD,0.9215
Kamari Lassiter,American Christian ,Tuscaloosa,AL,0.9137
Adonai Mitchell,Cane Ridge,Antioch,TN,0.8922
Chaz Chambliss,Carrollton,Carrollton,GA,0.8914
Jared Wilson,West Forsyth,Clemmons,NC,0.8856
Marlin Dean,IMG Academy,Bradenton,FL,0.8815
Javon Bullard,Baldwin,Milledgeville,GA,0.8726
Jackson Meeks,Central,Phenix City,AL,0.8715
