name,school,city,state,ranking
Nick Singleton,Governor Mifflin,Reading,PA,0.986
Emmanuel Henderson,Geneva County,Hartford,AL,0.9809
Raleek Brown,Mater Dei,Santa Ana,CA,0.9808
Branson Robinson,Germantown,Madison,MS,0.9729
Le'Veon Moss,Istrouma,Baton Rouge,LA,0.9652
Jamarion Miller,Tyler Legacy,Tyler,TX,0.9628
Gavin Sawchuk,Valor Christian,Littleton,CO,0.9583
George Pettaway,Nansemond-Suffolk Academy,Suffolk,VA,0.9582
Jovantae Barnes,Desert Pines,Las Vegas,NV,0.9532
Kaytron Allen,IMG Academy,Bradenton,FL,0.9385
Tavorus Jones,Burges,El Paso,TX,0.9319
Trevor Etienne,Jennings,Jennings,LA,0.9261
Jaydon Blue,Klein Cain,Houston,TX,0.9226
Jordan James,Oakland,Murfreesboro,TN,0.9224
Gi'Bran Payne,LaSalle ,Cincinnati,OH,0.9036
Damari Alston,Woodward Academy,Atlanta,GA,0.8995
Antonio Martin,Langston Hughes,Fairburn,GA,0.8976
Terrance Gibbs,Winter Park,Winter Park,FL,0.8966
Jaziun Patterson,Deerfield Beach,Deerfield Beach,FL,0.8748
Kedrick Debron,Gadsden County,Havana,FL,0.8178
Luther Burden,East St. Louis,East Saint Louis,IL,0.9974
Evan Stewart,Liberty,Frisco,TX,0.994
Chris Marshall,Fort Bend Marshall,Missouri City,TX,0.9885
Aaron Anderson,Edna Karr,New Orleans,LA,0.9832
Kevin Coleman,St. Mary's,Saint Louis,MO,0.9773
Kaden Saunders,Westerville South,Westerville,OH,0.977
Shazz Preston,St. James,Saint James,LA,0.9768
C.J. Williams,Mater Dei,Santa Ana,CA,0.9706
Kobe Prentice,Calera,Calera,AL,0.9687
Kaleb Brown,St. Rita,Chicago,IL,0.9684
Jordan Hudson,Garland,Garland,TX,0.9595
Barion Brown,Pearl-Cohn,Nashville,TN,0.9586
Brenen Thompson,Spearman,Spearman,TX,0.9476
Caleb Burton,Lake Travis,Austin,TX,0.9465
Darrius Clemons,Westview,Portland,OR,0.9422
Kojo Antwi,Lambert,Suwanee,GA,0.94
Tychaun Chapman,Landstown,Virginia Beach,VA,0.9233
Armani Winfield,Lewisville,Lewisville,TX,0.9178
Chandler Smith,Mt. Dora,Mount Dora,FL,0.9135
De'Nylon Morrissette,North Cobb,Kennesaw,GA,0.9131
Isaiah Horton,Oakland,Murfreesboro,TN,0.8948
Phaizon Wilson,Lancaster,Lancaster,TX,0.8911
Cameron Miller,Memphis Academy of Health Sciences,Memphis,TN,0.89
Amorion Walker,Ponchatoula,Ponchatoula,LA,0.8826
Squirrel White,Clay-Chalkville,Pinson,AL,0.8815
AJ Johnson,Western,Fort Lauderdale,FL,0.8804
Larry Simmons,Moss Point,Moss Point,MS,0.8796
Jake Johnson,Oconee County,Watkinsville,GA,0.9587
Oscar Delp,West Forsyth,Cumming,GA,0.9577
Jaleel Skinner,IMG Academy,Bradenton,FL,0.9562
Donovan Green,Dickinson,Dickinson,TX,0.9554
Theo Melin Ohrstrom,RIG Academy,Sweden,SWED,0.9162
Holden Staes,Westminster School,Atlanta,GA,0.9026
Elijah Brown,Wayne,Dayton,OH,0.9012
Colston Loveland,Gooding,Gooding,ID,0.9011
Jason Llewellyn,Aledo,Aledo,TX,0.89
Mason Taylor,St. Thomas Aquinas,Fort Lauderdale,FL,0.885
Danny Lewis,Westgate,New Iberia,LA,0.877
CJ Hawkins,Berkeley Prep,Tampa,FL,0.8744
Miles Kitselman,Hutchinson C.C.,Hutchinson,KS,0
Zach Rice,Liberty Christian Academy,Lynchburg,VA,0.9937
Josh Conerly Jr.,Rainier Beach,Seattle,WA,0.9918
Kelvin Banks,Summer Creek,Humble,TX,0.9842
Will Campbell,Neville,Monroe,LA,0.983
Elijah Pritchett,Carver,Columbus,GA,0.9825
Kiyaunta Goodwin,Charlestown,Charlestown,IN,0.9823
Tyler Booker,IMG Academy,Bradenton,FL,0.9766
Jake Taylor,Bishop Gorman,Las Vegas,NV,0.9431
Collin Sadler,Greenville,Greenville,SC,0.9394
Jacob Sexton,Deer Creek,Edmond,OK,0.909
Malik Agbo,Todd Beamer,Federal Way,WA,0.9064
E'Marion Harris,Joe T. Robinson,Little Rock,AR,0.9023
Tony Livingston,King,Tampa,FL,0.8985
Aliou Bah,IMG Academy,Bradenton,FL,0.8971
Qae'shon Sapp,Lee County,Leesburg,GA,0.8967
Dayne Shor,Denmark,Alpharetta,GA,0.8933
Travis Hunter,Collins Hill,Suwanee,GA,0.9999
Domani Jackson,Mater Dei,Santa Ana,CA,0.9952
Will Johnson,Grosse Pointe South,Grosse Pointe,MI,0.9924
Denver Harris,North Shore,Houston,TX,0.9889
Daylen Everette,IMG Academy,Bradenton,FL,0.9874
Jeadyn Lukus,Mauldin,Mauldin,SC,0.986
Toriano Pride,East St. Louis,East Saint Louis,IL,0.9673
Julian Humphrey,Clear Lake,Houston,TX,0.9655
Terrance Brooks,Little Elm,Little Elm,TX,0.9642
Earl Little Jr.,American Heritage,Fort Lauderdale,FL,0.9552
Trequon Fegans,Thompson,Alabaster,AL,0.953
Khamauri Rogers,Holmes County,Lexington,MS,0.9525
Laterrance Welch,Acadiana,Lafayette,LA,0.9503
Jaylon Guilbeau,Memorial,Port Arthur,TX,0.9365
JaDarian Rhym,Valdosta,Valdosta,GA,0.9286
Austin Ausberry,University Lab,Baton Rouge,LA,0.9275
Jyaire Brown,Lakota West,West Chester,OH,0.9237
Bobby Taylor,Katy,Katy,TX,0.9233
Tayon Holloway,Green Run,Virginia Beach,VA,0.9192
Jaeden Gould,Bergen Catholic,Oradell,NJ,0.9084
Benjamin Morrison,Brophy College Preparatory,Phoenix,AZ,0.9
Nick Cull,Seminole County,Donalsonville,GA,0.8933
Myles Pollard,Ravenwood,Brentwood,TN,0.8781
Dainsus Miller,Creekside,Fairburn,GA,0.8678
Tyler Woodard,Freedom Prep Academy,Memphis,TN,0.8639
Sonny Styles,Pickerington Central,Pickerington,OH,0.9937
Jacoby Mathews,Ponchatoula,Ponchatoula,LA,0.9817
Kamari Wilson,IMG Academy,Bradenton,FL,0.9807
Sam McCall,Lake Gibson,Lakeland,FL,0.9791
Xavier Nwankpa,Southeast Polk,Des Moines,IA,0.9773
Zion Branch,Bishop Gorman,Las Vegas,NV,0.9758
Smoke Bouie,Bainbridge,Bainbridge,GA,0.9712
Bryce Anderson,West Brook,Beaumont,TX,0.9691
Keon Sabb,IMG Academy,Bradenton,FL,0.9638
B.J. Allen Jr.,Aledo,Aledo,TX,0.9505
Chace Biddle,Garland,Garland,TX,0.9282
Sherrod Covil,Oscar Smith,Chesapeake,VA,0.9202
Cristian Driver,Liberty Christian,Argyle,TX,0.9142
Myles Rowser,Belleville,Belleville,MI,0.9134
Devin Moore,Naples,Naples,FL,0.9103
Tre Donaldson,Florida State Univ. School,Tallahassee,FL,0.9044
Larry Turner-Gooden,Bishop Alemany,Mission Hills,CA,0.9039
Markeith Williams,Evans,Orlando,FL,0.8998
Jake Pope,Buford,Buford,GA,0.8926
Jaylin Marshall,Western,Fort Lauderdale,FL,0.8913
Alfonzo Allen,Miami Central,Miami,FL,0.8867
Anthony Brown,Milan,Milan,TN,0.8815
Edric Weldon,South Broward,Hollywood,FL,0.8778
Malaki Starks,Jefferson,Jefferson,GA,0.9905
Isaiah Bond,Buford,Buford,GA,0.9773
Kendrick Law,Captain Shreve,Shreveport,LA,0.9629
Azareye'h Thomas,Niceville,Niceville,FL,0.9609
Amari Niblack,Lakewood,Saint Petersburg,FL,0.9416
Jaren Kanak,Hays,Hays,KS,0.9378
Antonio Kite,Anniston,Anniston,AL,0.9337
Jaden Mangham,Wylie E. Groves,Franklin,MI,0.9
Kye Stokes,Armwood,Seffner,FL,0.8975
Omari Kelly,Hewitt-Trussville,Trussville,AL,0.8967
Mac Chiumento,Seabreeze,Daytona Beach,FL,0
Ty Simpson,Westview,Martin,TN,0.9883
Walker Howard,St. Thomas More,Lafayette,LA,0.9809
Gunner Stockton,Rabun County,Tiger,GA,0.9506
Maalik Murphy,Junipero Serra,Gardena,CA,0.9292
Tanner Bailey,Gordo,Gordo,AL,0.9154
MJ Morris,Carrollton,Carrollton,GA,0.8909
Braden Davis,Middletown,Middletown,DE,0.8896
Kaden Martin,McDonogh School,Owings Mills,MD,0.8485
Devon Campbell,Bowie,Arlington,TX,0.9944
Earnest Greene,St. John Bosco,Bellflower,CA,0.9805
Kam Dewberry,Atascocita,Humble,TX,0.9723
Neto Umeozulu,Allen,Allen,TX,0.9599
Emery Jones,Catholic,Baton Rouge,LA,0.9549
Addison Nichols,Greater Atlanta Christian School,Norcross,GA,0.9422
Julian Armella,St. Thomas Aquinas,Fort Lauderdale,FL,0.9395
Carson Hinzman,Saint Croix Central,Hammond,WI,0.93
Jacob Allen,Hun School ,Princeton,NJ,0.9173
Cole Hutson,Frisco,Frisco,TX,0.8965
Jaylen Early,Duncanville,Duncanville,TX,0.8961
